Longitude,Latitude,MOD13Q1_006__250m_16_days_EVI_doy2011081_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011097_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011113_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011129_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011145_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011161_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011177_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011193_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011209_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011225_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011241_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012081_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012097_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012113_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012129_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012145_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012161_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012177_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012193_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012209_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012225_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012241_aid0001_tif
-86.7324982,34.9873009,2856,4047,3110,3219,3324,4369,5060,6354,5002,3126,3866,5773,6145,3261,5105,5569,4262,3154,3306,6548,5460,5487
-86.7376022,34.985199,3927,4092,3416,3182,3506,4475,4464,5137,6067,3019,3764,4527,2632,3182,2616,2833,5656,4193,4583,6023,4765,4917
-86.7350998,34.985199,2588,4092,3350,2770,3177,3666,3540,3467,3624,3362,3360,3858,2531,2046,3749,3517,7124,4416,6438,3213,5397,2522
-86.7325974,34.985199,2017,4092,2959,2214,2843,3281,3166,3411,3515,3294,4277,2601,2531,2365,3749,3762,5407,4872,3290,2608,4522,3337
-86.7478027,34.9831009,3423,4068,3179,4072,4160,3831,4317,5273,4054,3503,2735,5040,5650,6057,4401,6413,5521,3148,5281,6045,4868,7513
-86.7452011,34.9831009,3757,4058,1467,2686,3387,4853,5633,6466,5876,3333,2709,6362,6275,6327,3307,5995,4420,4647,5261,6615,7431,6357
-86.7426987,34.9831009,3112,3260,1428,2190,3393,4931,7036,6613,6036,3353,2722,7055,6278,6597,2827,3906,3609,4212,4094,6987,8500,6489
-86.7401962,34.9831009,3247,3303,1626,2301,3346,4777,7247,7389,7333,3248,2503,3890,4189,5207,2879,3906,3058,3507,5280,6987,8732,6131
-86.7376022,34.9831009,3169,3303,2436,3134,3346,4566,5703,5984,6395,3543,2503,3286,4855,2952,2198,3682,5869,5940,7827,6023,4765,5305
-86.7350998,34.9831009,2487,3471,3937,3302,4463,4731,3859,3371,3512,2952,2874,1967,1859,1685,2138,3847,7069,7451,6405,7686,4604,4390
-86.7325974,34.9831009,2069,4301,3541,2703,3868,4332,3912,3371,3828,3703,4267,2028,2433,1831,2229,2840,7414,6903,7443,6823,5287,2522
-86.7478027,34.980999,3737,4079,1556,2684,3616,3831,5484,6308,5611,4129,2479,6965,5422,5652,2920,3966,3661,3173,3913,5409,5212,5039
-86.7453003,34.980999,3622,3260,1467,2261,3393,4244,6836,6514,5544,2801,2709,6146,6573,7238,2704,2646,2505,2991,4579,7712,7453,6956
-86.7426987,34.980999,3300,3260,1428,2195,3537,4706,6814,6151,5544,2726,2496,6527,6577,7238,2841,2276,2458,2991,4607,7752,8420,9183
-86.7401962,34.980999,2314,3471,1687,2189,3537,4595,6333,6225,7379,3543,2868,5423,6727,7286,2821,2863,2470,3014,4773,8685,8648,9185
-86.7376022,34.980999,2089,3471,2724,2667,3569,3374,3691,4072,4397,3543,3907,5423,4426,5201,2491,2863,6357,4676,6280,8685,6454,6566
-86.7325974,34.980999,2084,4301,3990,2703,2871,3287,5291,4998,4757,4540,4551,2819,1831,1870,2570,2896,8533,7360,6716,8631,5147,1781
-86.7478027,34.9789009,3241,4060,1664,3546,4369,4044,4760,5514,5312,4243,3464,6906,4844,5338,4501,4511,4281,3291,4182,4865,5032,6238
-86.7453003,34.9789009,3478,3912,1548,2824,3331,3877,7059,6196,6004,4649,2509,6906,6656,7030,2927,2764,2912,2840,4689,7799,6995,7199
-86.7426987,34.9789009,3734,3359,2048,3057,3524,4055,7112,6438,6222,3652,2330,6564,6886,7459,2676,2246,2135,2916,4724,8155,8615,9066
-86.7401962,34.9789009,3252,3359,2777,3023,3259,3861,5940,6229,6041,3997,2829,6719,6392,7459,2418,2138,2069,2687,4898,7752,8361,9296
-86.7376022,34.9789009,2992,3848,2715,3649,3766,3626,4119,5309,5198,4367,2705,6777,6727,6006,2714,2135,4223,3638,4773,8685,7146,7854
-86.7350998,34.9789009,2128,3848,3990,3190,4102,2798,4167,3523,4383,4516,4015,2244,3039,2015,2358,2560,7578,7407,6280,8807,5344,5695
-86.7325974,34.9789009,2138,4135,3961,3274,3790,3755,4710,4407,4946,4453,4295,3973,1831,1767,2548,2896,8828,7559,5672,8134,5459,2079
-86.7426987,34.976799,4731,5094,2935,5055,3585,4448,6164,6196,6004,5298,3272,6041,5999,6055,2776,3000,2863,2585,3681,4830,8872,7146
-86.7401962,34.976799,4724,5232,2522,2849,3595,4274,6482,6438,7486,5254,3120,5790,6170,8129,3321,3191,2191,2833,3135,8785,8840,8118
-86.7376022,34.976799,4377,3848,3186,3825,4666,4678,6610,6046,7097,5282,3169,5037,6641,6494,2955,2123,3112,3697,5142,8089,7587,6948
-86.7401962,34.9747009,3529,5073,2948,2605,3647,4215,6886,6660,6978,4983,3210,4586,5357,6055,4344,4073,2820,2872,3075,4830,7003,7165
-86.7377014,34.9747009,3390,4259,3817,2632,4398,4532,6857,6917,6314,4319,2782,5790,6170,6638,3459,3191,2571,2460,3023,4569,7079,7193
-86.6108017,34.9743996,2456,5677,3668,3478,4168,4365,5892,7282,7196,7166,5064,7347,6892,6977,3257,3386,3738,2484,5809,6048,6726,6144
-86.6082001,34.9743996,2354,5677,4151,1827,2174,3309,5359,7881,6783,7236,6754,6874,6896,5254,2425,2718,2025,2225,6095,6201,8367,8208
-86.6031036,34.9743996,6878,6178,6483,6020,3367,2443,1975,4365,6921,7389,7527,2598,2137,2179,2070,2215,3280,3637,2607,6948,7721,7201
-86.6006012,34.9743996,6122,6147,6812,4904,3676,2789,4010,4833,5910,5583,7527,3298,2524,2224,2332,2908,2540,3091,2531,6752,6834,6997
-86.6108017,34.9723015,1823,5834,1846,3403,1955,3056,6096,7675,7323,7454,5863,6619,6862,7305,3221,3332,3867,2534,5012,5520,7583,6626
-86.6082001,34.9723015,1977,4728,3576,1746,2503,2911,6195,7903,8120,6977,6416,7785,7348,6032,2024,1937,2025,2051,5809,6481,8784,8147
-86.6056976,34.9723015,5458,6093,4151,3835,2503,2911,2906,4592,7544,7178,6416,4609,4814,6032,1813,2049,2513,2225,6095,6605,8384,8195
-86.6032028,34.9723015,7463,6062,6124,5661,3367,2292,1554,4592,7257,7288,7773,2282,2017,2020,1741,1981,2300,2983,3844,6948,8081,7715
-86.6006012,34.9723015,6878,5965,6812,5493,4115,2330,2745,4693,6761,6185,7527,2985,2356,2020,1835,4336,2696,3413,3893,6948,7587,7038
-86.6108017,34.9701996,2282,4957,2197,4128,2171,3288,6284,7661,7597,7034,5390,6673,6271,7405,3907,3511,3277,2603,4903,5544,6480,7797
-86.6082001,34.9701996,1773,4803,1954,1834,2089,3043,5885,7726,7952,7384,5785,7388,7125,7474,2145,1861,1554,2018,5737,5886,8427,8246
-86.6056976,34.9701996,2871,4803,3277,3341,2423,2961,4872,7826,7526,7313,6394,5772,6883,5716,2287,2367,2266,2929,2926,6846,8205,7832
-86.6032028,34.9701996,3073,4187,3036,6426,3393,2961,4871,4547,7477,7365,7773,3664,4377,4394,1874,1999,2391,2929,2622,7514,8040,7832
-86.6006012,34.9701996,6853,6005,7757,4838,3660,2436,5242,5183,7240,6730,7773,4301,4483,4849,1953,2411,2153,2968,5956,5778,7181,7301
-86.6108017,34.9681015,3026,3556,2263,3961,2129,2881,6042,7669,6764,6530,5390,7299,7139,7641,2053,1878,1554,1863,4457,5886,8301,8431
-86.6082993,34.9681015,1851,3609,1736,1834,1908,2925,6470,8396,7797,6841,5785,7301,7129,7653,2186,1836,1827,1871,3685,5079,8193,8290
-86.6056976,34.9681015,2280,4187,1883,1951,1993,3058,6189,8396,7635,7252,5785,7594,8324,8233,2287,1935,1951,1987,2601,4177,7768,7832
-86.6032028,34.9681015,3073,4187,1780,2025,2423,2936,5864,7607,7877,7855,6019,7401,8002,4394,1874,2039,1963,1987,2665,3388,6873,7704
-86.6006012,34.9681015,2478,4249,3036,1756,2090,2849,4871,7701,7891,7365,6019,7394,5437,4849,2149,2411,1719,2062,3250,4283,6949,7075
-86.5980988,34.9681015,2016,4610,2262,1849,1976,3037,5242,7701,8274,6730,6073,6482,6761,6549,3009,3578,2430,3528,3250,4283,7680,7807
-86.5955963,34.9681015,2016,4610,1865,2674,2232,3638,5302,8522,7305,7274,6073,6006,5636,6356,2698,3966,3823,3620,4060,4685,6362,7313
-86.6108017,34.9659996,2661,4508,2411,1895,2317,3215,6195,7384,6776,6576,5092,7808,6936,7089,1957,1777,1662,1913,2413,5392,8041,7904
-86.6082993,34.9659996,2175,3572,1832,1978,1975,3038,6476,7951,7281,6899,6071,7171,7018,7346,2131,2049,1681,1934,2807,5602,8606,8379
-86.6056976,34.9659996,2143,3532,1778,1722,1887,3149,5994,8083,8171,8560,6041,7116,7163,7372,2319,2461,1789,2049,2596,5082,8540,7873
-86.6032028,34.9659996,2775,4123,2285,1825,1970,3180,5502,8859,8860,8864,6629,7056,7069,6985,2187,3489,2173,2393,3937,4461,7077,8230
-86.6007004,34.9659996,3376,4154,1777,2240,1738,2894,5456,7854,8055,8185,6629,6919,6759,6871,2894,1901,3858,2020,2879,4962,7476,8156
-86.5980988,34.9659996,3836,4154,1876,3365,2059,3106,5456,7854,7048,8419,6073,6313,6742,7167,4901,3512,2590,2962,6209,4333,6877,6695
-86.7301025,34.9642982,3084,5088,2840,3433,3220,2702,3040,6800,7418,4564,4248,3055,3015,2919,3828,5449,4007,3761,3873,4048,3502,4059
-86.6311035,34.9640007,4301,5291,4404,4030,4803,3519,6120,4594,6186,5234,3921,5788,5440,3604,2781,3676,2749,2844,3523,5477,6264,6089
-86.6158981,34.9640007,5353,5167,4703,3921,3795,3551,5621,6724,6873,5369,4795,7337,6913,6514,2311,3067,2480,2628,4460,6943,7850,7953
-86.6132965,34.9640007,3582,5167,2377,2533,2285,2815,5172,8529,8450,7516,4733,7127,7159,7024,2488,1969,1930,2129,3296,6910,8723,7953
-86.6108017,34.9639015,2805,4298,2075,2569,2228,2847,5243,8529,8450,7968,5872,7393,6831,6708,1957,1952,1764,1949,2913,5721,8034,7663
-86.6082993,34.9639015,2990,4298,2318,1895,2612,3008,5478,7990,8033,7647,5739,7284,6600,5934,2261,1922,1724,1849,2413,5746,8083,7419
-86.6056976,34.9639015,2225,4298,2818,1805,1975,2897,4958,7575,7754,7144,5739,6714,6236,7372,2904,2511,2067,2191,2479,5412,7541,6128
-86.6032028,34.9639015,2721,4123,1778,1850,1950,3149,5502,7699,8055,7453,5714,6271,7097,7372,2904,2461,3138,2638,2874,4428,7574,7873
-86.7453003,34.9622002,4969,5556,5853,3797,3170,3808,5206,4488,5578,5053,4207,4784,5837,4898,3435,4519,4617,4410,4600,5333,4329,4783
-86.7301025,34.9622002,4957,6093,4220,4869,5373,3961,4243,7290,6776,7016,5159,4167,3422,5416,3651,5003,6102,4181,5939,4135,3855,2943
-86.7275009,34.9622002,4742,6093,4734,4690,3209,3961,3275,7290,6776,6486,4011,3480,2750,3685,4360,5003,5534,4310,3648,4055,3481,3384
-86.6286011,34.9618988,4042,4767,5101,4288,4620,4610,6049,6254,5903,5594,4565,5276,5570,4439,4074,3550,3705,3049,3095,5388,6711,5865
-86.6057968,34.9617996,3746,5467,2882,3623,2581,2808,4620,7720,7645,7356,5818,2696,3375,5618,2664,2469,4919,3886,3103,3864,7860,6327
