Longitude,Latitude,MOD13Q1_006__250m_16_days_EVI_doy2011081_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011097_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011113_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011129_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011145_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011161_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011177_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011193_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011209_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011225_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011241_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012081_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012097_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012113_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012129_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012145_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012161_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012177_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012193_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012209_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012225_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012241_aid0001_tif
-86.7799988,34.9906006,3413,4421,3276,2311,2988,2734,4211,5231,6920,5364,4317,3747,3747,3416,2782,4794,5903,4964,5358,5287,3766,3680
-86.7774963,34.9906006,3281,4421,3276,2445,3072,3030,4211,5960,8544,5864,4510,3747,3659,3400,3202,5065,4745,4172,4764,4815,3797,3916
-86.764801,34.9906006,4045,4981,4962,3469,4083,3838,5155,5949,5715,5006,2591,4696,5169,4230,3126,4240,5217,3612,5986,5905,4957,3974
-86.7572021,34.9906006,4167,5000,3959,4367,3958,3031,3781,5712,6515,6146,4553,5114,3732,4808,4320,5187,4801,4535,5090,4958,4200,3011
-86.7546005,34.9906006,4256,5000,3822,3801,2854,2302,3863,5656,5696,6174,3720,5114,3123,3525,3904,5480,5388,4324,4456,4866,3261,3443
-86.7418976,34.9905014,2193,3859,3899,3466,4448,5662,7162,6289,5424,2938,2890,4904,4139,3799,3945,6202,5998,5305,5768,4056,4023,3216
-86.7266998,34.9905014,3388,4633,2380,4459,3749,5461,6562,5839,5612,4762,2691,7591,6877,6835,3337,2677,4236,2277,4665,8741,7409,8239
-86.7241974,34.9905014,3998,4633,1857,2313,2678,4651,7168,6233,5674,3725,2396,7613,7389,5652,2552,2906,2267,2882,4331,8274,9098,9334
-86.7089005,34.9905014,3378,4037,4435,3243,5623,3498,6357,5676,4994,3207,3867,4379,4528,5004,4835,5467,4871,4530,4277,6822,5700,5492
-86.706398,34.9905014,3586,4037,3070,3524,4040,4208,6490,6279,3302,2856,2880,4078,3787,3330,3197,4686,3692,3915,4718,5722,7504,5236
-86.6962967,34.9903984,2000,4201,1750,3344,2148,2747,4321,5982,6183,6392,4036,5254,5799,4985,3117,2484,3288,2694,2616,5235,7980,7648
-86.6937027,34.9903984,2654,4201,1809,2381,3999,3020,3632,6049,7321,5297,4011,5277,6877,4670,3117,2201,2379,1935,2517,5235,6665,7648
-86.6912003,34.9903984,2654,4108,3245,2226,3378,2748,3752,6082,7655,5330,4011,7220,6773,4696,2658,2018,1897,2028,2426,5461,8165,8036
-86.6784973,34.9903984,4403,5611,7852,5483,5551,4382,5963,5662,5643,4984,3104,4372,3572,3533,3701,2770,3341,3482,4844,6212,5981,5924
-86.6708984,34.9903984,3073,4408,2061,2524,2189,2172,5499,7094,7695,6495,4400,4614,3940,3419,2316,3279,3306,3243,7225,7541,7397,7298
-86.6682968,34.9903984,4442,5376,4334,2439,2325,2688,5223,7092,8118,7384,4921,5680,4865,3419,3461,2181,2495,3125,7225,7555,7912,6168
-86.6455002,34.9902992,4578,5910,5631,5859,5077,3889,4480,6461,5294,6454,7853,5561,3549,3621,4426,6014,4685,4272,4106,5438,5430,6118
-86.6251984,34.9902,4296,7384,6444,5041,4054,4607,5869,6589,6509,6643,6848,4327,2240,2085,4428,6353,4288,4613,4893,4355,4233,1907
-86.6225967,34.9902,5860,7413,6143,6093,2551,2783,2339,6453,7608,7475,7315,1874,2221,2085,4042,5582,5533,4460,3624,3784,2390,1907
-86.6201019,34.9902,6008,7413,6408,5643,2756,2790,2143,6598,7837,6882,6984,2687,2628,2217,3972,6218,5406,4310,3498,3798,2592,2423
-86.6175995,34.9902,5743,7659,6467,5194,3494,2527,2568,7509,8173,7908,7394,2655,2325,2217,5117,6714,4976,4613,3938,3848,2568,2249
-86.6149979,34.9902,5687,7659,6496,4839,3462,4270,3637,6722,7254,7013,7290,2789,1928,2865,4892,6082,6294,5079,4227,3968,2193,2073
-86.6125031,34.9902,6434,7747,6682,3314,3338,3919,4913,6696,5450,5734,6374,2821,2418,2810,4892,5790,6426,4732,4258,4188,3009,2444
-86.6048965,34.9902,4602,5452,5051,4415,4199,5505,5070,7590,7614,7250,5112,4531,5391,4843,5326,5718,4815,4479,5785,5948,6664,6244
-86.6023026,34.9902,6697,5826,2581,3365,2951,3132,4756,7623,7941,6720,5434,4023,4761,3706,2760,3324,3229,3573,6065,7415,6602,6563
-86.5998001,34.9902,5230,5826,5129,2885,3470,3322,2788,7322,6872,6687,4582,4598,4862,4208,2439,2473,2872,3516,5774,7780,7971,6466
-86.5922012,34.9901009,2308,4392,4364,3741,5309,4951,5266,6303,5575,5110,5104,6507,6944,7274,3549,6066,3017,2737,4806,4644,6070,6504
-86.5439987,34.9900017,6272,5529,4238,5954,4577,3799,5330,4616,6639,6119,5375,6194,6593,7366,3601,4365,4061,3508,3825,4596,6916,6069
-86.5313034,34.9898987,2871,3937,3627,2787,3482,5129,6578,6346,5593,5038,3637,4415,4075,3447,2899,3269,3671,3911,5519,6858,6710,6118
-86.5159988,34.9898987,2631,4264,2578,3153,2897,3277,4553,5599,5690,6375,4399,3908,3159,4548,3007,3856,3323,2641,3964,6415,6741,5424
-86.5134964,34.9897995,3728,4500,3014,2397,3275,3192,4307,5475,5866,6268,4402,3307,2494,3659,2705,3552,2397,2721,5875,7443,7636,5022
-86.5110016,34.9897995,4035,4500,2394,3186,3495,3801,4527,5267,5353,5745,4798,4901,3986,4353,3978,4039,4064,3711,5880,5077,6212,6179
-86.5033035,34.9897995,3856,5003,4976,4714,5001,3973,5322,5558,5024,6466,4663,2642,3657,3487,3927,4731,4582,3364,1497,4752,5192,4194
-86.5008011,34.9897995,4086,5003,5018,3110,5402,4691,3480,5855,5542,5839,4312,2714,2839,3503,3656,4320,4404,3060,2182,4752,5192,2842
-86.4804993,34.9897003,3119,4943,3878,3391,3560,3265,3248,5826,6276,7514,6240,4379,3207,2808,4482,5154,4772,3458,3601,5393,3895,4098
-86.4754028,34.9897003,4377,5817,3966,3153,2727,2519,2556,3808,7518,7491,7169,2965,2953,3010,2981,2986,3359,3614,7220,6422,6591,5530
-86.7799988,34.9884987,3546,4923,2746,4942,4011,3502,4438,6123,7072,6051,4565,3090,2857,3093,2754,4683,4709,4240,4962,5851,3561,4031
-86.764801,34.9884987,3445,4989,5041,3809,3418,4987,6245,6563,6704,5217,3659,5597,4543,4230,4201,5041,5324,4340,5826,6259,5035,4032
-86.759697,34.9884987,2879,4974,5195,4113,5168,4946,5116,5482,7891,7338,4570,4187,4904,4377,4901,6196,6584,5379,5323,5611,4793,4199
-86.7572021,34.9884987,4130,5025,3790,4095,3634,2843,3747,6175,7446,6963,5520,5066,3484,3547,4525,5963,4988,4918,5393,4956,3893,3082
-86.7444992,34.9884987,3514,3859,3358,4228,4554,3986,5832,6157,4984,3359,3696,4921,3376,3330,3198,4157,4245,3468,6434,6017,4840,3837
-86.7418976,34.9884987,3604,3859,4599,4561,4285,5398,5488,6432,5284,3627,3634,4430,4150,4160,3352,5729,5697,4527,4805,5823,4144,2816
-86.7266998,34.9883995,4443,3531,2328,4713,3840,5493,6168,6709,6036,4493,2745,7176,6389,6835,3612,2362,4116,2104,5379,8385,6712,7953
-86.7241974,34.9883995,3994,3531,1874,2118,2679,5026,7017,6768,6036,4013,2308,7740,7133,7613,2441,2677,2136,2277,4665,8840,8866,9382
-86.7216034,34.9883995,3576,3777,1857,1998,2674,3574,6908,6319,5446,3507,2396,5135,4225,5379,2424,2483,2045,2526,5122,7173,8621,7033
-86.719101,34.9883995,2828,3777,2850,2172,2800,2702,5505,6709,7366,6540,3495,5135,2555,2375,2877,3428,4194,3668,4999,5871,5671,7033
-86.7165985,34.9883995,3718,4396,3415,2438,2647,3200,5526,7557,5355,5843,4033,4365,4263,2659,3314,3890,4399,3674,4059,7225,5886,
-86.7139969,34.9883995,4423,4815,4454,3638,3382,3410,5264,7557,6576,6246,4456,4929,4754,4045,3314,4606,4701,3651,4787,7225,6765,
-86.7089005,34.9883995,3155,4815,5338,4171,5778,5459,6455,6045,5004,4195,4129,4739,4747,4338,4008,5154,5030,4143,5022,6606,7250,6064
-86.706398,34.9883995,3662,3653,2047,3378,3880,4955,6146,6796,5656,4505,3941,3415,2436,2167,2857,3120,4905,3509,5505,7399,7953,7252
-86.6987991,34.9883995,1886,3653,2718,4845,4667,2429,5843,6355,7563,5734,4882,5587,6232,4658,2450,2827,1977,1965,2787,5470,8506,6800
-86.6962967,34.9883995,2488,3512,2899,2709,2671,2747,4501,6805,7483,7779,4814,5060,6288,4270,2979,3475,2342,2521,2879,4905,7350,6776
-86.6937027,34.9883003,2021,3512,2675,2280,2472,1939,4147,6805,8182,7729,4458,5060,5761,4765,2675,2914,1929,2678,3774,5467,8103,5940
-86.6912003,34.9883003,1891,4108,1809,2032,2623,2023,4146,6975,8245,5898,4429,4045,6117,4790,4035,5280,3462,4642,2669,5919,7305,5006
-86.6836014,34.9883003,4299,6783,7519,6457,7039,5758,5926,5698,4907,3413,4028,3383,2981,4106,2617,3487,3944,3687,6157,6135,7044,5643
-86.6809998,34.9883003,6718,6783,7931,6866,6495,5336,6030,5756,5190,4542,4011,5233,5648,3381,3872,3530,3610,3567,5800,5145,6614,5983
-86.6784973,34.9883003,7951,6783,6827,6866,5672,4488,5142,5756,4471,4220,3983,4479,4399,3844,3421,3127,3353,3267,4836,5421,6146,5983
-86.6708984,34.9883003,3176,5086,2323,4508,3369,2874,6623,8203,7877,7138,4400,4196,4420,4011,3416,3080,2997,3280,7325,7925,8026,6763
-86.6682968,34.9883003,3858,5300,3861,2297,2515,3293,5223,7914,6743,7512,4400,6184,4435,4011,3416,5031,3673,3039,6780,7017,6804,6081
-86.6455002,34.9882011,3008,5174,4851,5626,5220,4847,6021,5613,5680,5505,5572,4985,5060,4340,4066,4834,4877,3712,5967,5456,5346,3752
-86.6429977,34.9882011,3602,5538,4556,4656,4373,3829,4649,5613,4837,4713,4233,3856,5204,5745,4722,5169,5633,4406,5921,5311,4859,5468
-86.6251984,34.9882011,5179,6149,6606,4769,3031,3191,1550,6682,6981,7216,7417,4271,2311,2330,4781,7252,4472,4645,4976,4437,2433,2516
-86.6227036,34.9880981,6623,7933,6583,5041,2376,2369,1550,6472,7814,7842,7318,1907,1884,2330,4512,6866,7273,4544,3347,3528,2319,2058
-86.6201019,34.9880981,6008,7963,6266,4534,2756,2816,2143,6453,6987,7084,7014,1873,2216,2729,3879,6866,7509,4426,3343,3776,2319,2355
-86.6175995,34.9880981,6336,7963,6179,4513,2699,2527,2106,7282,7888,7934,6984,2059,2700,2419,4147,7036,4436,4470,3466,3789,2503,2121
-86.6125031,34.9880981,6149,7214,6402,4780,2633,3021,2611,7481,8313,7125,6539,2410,2681,2909,4670,6769,5816,4613,3991,4130,2492,2437
-86.6100006,34.9880981,5348,7296,6625,4723,4922,2786,3308,7089,7575,6793,5751,2228,2065,2321,4667,6769,5895,4744,3706,3843,2600,1925
-86.6048965,34.9880981,3604,5452,6148,3968,5581,6492,6452,7307,7508,6650,4196,6484,6212,6698,5199,5415,5822,5250,5399,5279,5581,5209
-86.6023026,34.9880981,3551,4837,2432,2730,2666,3005,5070,7658,7776,6291,4490,5850,5923,6265,5120,5615,5418,5204,5042,6169,5838,5804
-86.5998001,34.9880981,3267,4015,2156,3209,2351,2747,4756,7590,7616,6720,4561,5536,5283,5784,4484,4784,5408,4380,6069,5680,6824,5241
-86.5947037,34.9880981,2482,4041,4561,2982,5542,6325,6486,6772,6541,5967,5490,5979,7134,6730,2469,4448,2131,3032,4140,4973,6115,7596
-86.5896988,34.987999,2424,4580,2852,4596,3947,5106,6793,6532,4988,4141,4788,7204,5244,5968,3254,3531,2994,3272,3721,3911,7979,5888
-86.5567017,34.9878998,3427,4768,4880,4076,4834,4322,5532,5392,5163,4478,4403,4670,4790,3695,3763,3765,4345,3801,4649,5111,7109,5133
-86.5465012,34.9878998,3080,5013,5045,4910,5536,5217,6322,5389,5179,4790,3758,5380,6516,7632,5557,6275,5184,5626,5668,6400,6712,5621
-86.5439987,34.9878998,2477,5013,5059,4711,5322,5423,6753,5962,5545,5127,4136,5497,6500,7262,5198,6154,5184,5584,5576,5183,6712,5567
-86.5389023,34.9878998,4526,4959,5991,3687,5806,2904,3883,5555,6352,5936,4660,3793,2272,2537,3772,5096,5830,3624,4872,4810,4076,3204
-86.5337982,34.9878006,3559,4948,3921,4314,6499,6302,6243,5894,6303,6049,4010,4274,4507,4330,4590,5338,5160,4251,5157,6119,5645,4800
-86.5084,34.9877014,2936,4798,2996,4175,4665,5033,5321,5267,6152,6774,4866,4793,5920,6167,3621,5571,4498,3703,5379,6909,7338,4949
-86.5034027,34.9877014,3916,5810,4927,3110,3648,3973,3480,5567,7003,6466,5402,4357,6860,3425,4519,6100,4767,5210,5066,6239,6323,5883
-86.5008011,34.9877014,4482,5326,4267,3087,2375,2799,3480,5038,7796,8120,5338,4379,2673,2984,4901,6641,5773,5279,5418,6270,6253,5157
